2016-Oct-04 21:43:19,818 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:19,818 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:20,235 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:20,236 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:20,236 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        TC_PC_005          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:20,236 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:20,236 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:20,254 INFO  [MDP_MyCustomisedLogs] Not executing the post code as the value from excel is : @#$@#% 
2016-Oct-04 21:43:20,665 INFO  [MDP_MyCustomisedLogs] XXXXXXXXXXXXXXXXXXXXXXX             Ends Test Case ID Post Code Pop Up             XXXXXXXXXXXXXXXXXXXXXX 
2016-Oct-04 21:43:20,665 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:20,665 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:20,665 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:20,665 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:20,948 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:20,948 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:20,948 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        TC_PC_006          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:20,948 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:20,948 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:22,551 INFO  [MDP_MyCustomisedLogs] Clicked on Post Code icon on the footer 
2016-Oct-04 21:43:22,633 INFO  [MDP_MyCustomisedLogs] entered post code : as23 
2016-Oct-04 21:43:24,178 INFO  [MDP_MyCustomisedLogs] Clicked on Submit button post code pop up > 
2016-Oct-04 21:43:24,224 INFO  [MDP_MyCustomisedLogs] Location is not set to correct post code : as23 
2016-Oct-04 21:43:24,626 INFO  [MDP_MyCustomisedLogs] XXXXXXXXXXXXXXXXXXXXXXX             Ends Test Case ID Post Code Pop Up             XXXXXXXXXXXXXXXXXXXXXX 
2016-Oct-04 21:43:24,626 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:24,626 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:24,626 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:24,626 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:25,053 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:25,053 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:25,053 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        TC_PC_007          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:25,053 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:25,053 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:25,737 INFO  [MDP_MyCustomisedLogs] Clicked on Post Code icon on the footer 
2016-Oct-04 21:43:25,819 INFO  [MDP_MyCustomisedLogs] entered post code : 23sd 
2016-Oct-04 21:43:27,363 INFO  [MDP_MyCustomisedLogs] Clicked on Submit button post code pop up > 
2016-Oct-04 21:43:27,403 INFO  [MDP_MyCustomisedLogs] Location is not set to correct post code : 23sd 
2016-Oct-04 21:43:27,802 INFO  [MDP_MyCustomisedLogs] XXXXXXXXXXXXXXXXXXXXXXX             Ends Test Case ID Post Code Pop Up             XXXXXXXXXXXXXXXXXXXXXX 
2016-Oct-04 21:43:27,802 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:27,802 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:27,802 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:27,802 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:28,242 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:28,242 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:28,242 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        TC_PC_008          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:28,242 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:28,243 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:29,130 INFO  [MDP_MyCustomisedLogs] Clicked on Post Code icon on the footer 
2016-Oct-04 21:43:29,218 INFO  [MDP_MyCustomisedLogs] entered post code : 3008 
2016-Oct-04 21:43:30,770 INFO  [MDP_MyCustomisedLogs] Clicked on Submit button post code pop up > 
2016-Oct-04 21:43:30,811 INFO  [MDP_MyCustomisedLogs] Location is not set to correct post code : 3008 
2016-Oct-04 21:43:31,233 INFO  [MDP_MyCustomisedLogs] XXXXXXXXXXXXXXXXXXXXXXX             Ends Test Case ID Post Code Pop Up             XXXXXXXXXXXXXXXXXXXXXX 
2016-Oct-04 21:43:31,233 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:31,233 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:31,233 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:31,233 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:31,729 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:31,729 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:31,729 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        TC_PC_009          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:31,729 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:31,729 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:31,741 INFO  [MDP_MyCustomisedLogs] Not executing the post code as the value from excel is :  
2016-Oct-04 21:43:32,175 INFO  [MDP_MyCustomisedLogs] XXXXXXXXXXXXXXXXXXXXXXX             Ends Test Case ID Post Code Pop Up             XXXXXXXXXXXXXXXXXXXXXX 
2016-Oct-04 21:43:32,175 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:32,175 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:32,175 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:32,176 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:32,482 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:32,482 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:32,482 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        TC_PC_010          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:32,482 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:32,482 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:33,798 INFO  [MDP_MyCustomisedLogs] Clicked on Post Code icon on the footer 
2016-Oct-04 21:43:33,874 INFO  [MDP_MyCustomisedLogs] entered post code : 4000 
2016-Oct-04 21:43:35,424 INFO  [MDP_MyCustomisedLogs] Clicked on Submit button post code pop up > 
2016-Oct-04 21:43:35,460 INFO  [MDP_MyCustomisedLogs] Location is not set to correct post code : 4000 
